Time,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13
175,260.0,232.0,129.0,187.0,108.0,65.0,28.0,19.0,-1.0,0.0,-2.0,0.0
176,259.0,231.0,128.0,185.0,107.0,64.0,27.0,20.0,-1.0,0.0,-1.0,0.0
177,259.0,231.0,128.0,185.0,107.0,64.0,27.0,20.0,-1.0,0.0,-1.0,0.0
178,259.0,231.0,128.0,185.0,107.0,64.0,27.0,20.0,-1.0,0.0,-1.0,0.0
179,259.0,231.0,128.0,185.0,107.0,64.0,27.0,20.0,-1.0,0.0,-1.0,0.0
180,256.0,226.0,123.0,182.0,104.0,59.0,26.0,17.0,0.0,0.0,0.0,0.0
181,256.0,226.0,123.0,182.0,104.0,59.0,26.0,17.0,0.0,0.0,0.0,0.0
182,256.0,226.0,123.0,182.0,104.0,59.0,26.0,17.0,0.0,0.0,0.0,0.0
183,253.0,224.0,120.0,178.0,100.0,54.0,24.0,17.0,-1.0,0.0,0.0,0.0
184,253.0,224.0,120.0,178.0,100.0,54.0,24.0,17.0,-1.0,0.0,0.0,0.0
185,253.0,224.0,120.0,178.0,100.0,54.0,24.0,17.0,-1.0,0.0,0.0,0.0
186,253.0,224.0,120.0,178.0,100.0,54.0,24.0,17.0,-1.0,0.0,0.0,0.0
187,251.0,223.0,118.0,177.0,98.0,50.0,22.0,15.0,0.0,0.0,-1.0,0.0
188,251.0,223.0,118.0,177.0,98.0,50.0,22.0,15.0,0.0,0.0,-1.0,0.0
189,251.0,223.0,118.0,177.0,98.0,50.0,22.0,15.0,0.0,0.0,-1.0,0.0
190,251.0,223.0,118.0,177.0,98.0,50.0,22.0,15.0,0.0,0.0,-1.0,0.0
191,250.0,219.0,114.0,175.0,95.0,47.0,19.0,14.0,0.0,0.0,0.0,0.0
192,250.0,219.0,114.0,175.0,95.0,47.0,19.0,14.0,0.0,0.0,0.0,0.0
193,250.0,219.0,114.0,175.0,95.0,47.0,19.0,14.0,0.0,0.0,0.0,0.0
194,248.0,220.0,115.0,173.0,92.0,45.0,18.0,12.0,0.0,0.0,-1.0,0.0
195,248.0,220.0,115.0,173.0,92.0,45.0,18.0,12.0,0.0,0.0,-1.0,0.0
196,248.0,220.0,115.0,173.0,92.0,45.0,18.0,12.0,0.0,0.0,-1.0,0.0
197,248.0,220.0,115.0,173.0,92.0,45.0,18.0,12.0,0.0,0.0,-1.0,0.0
198,245.0,218.0,111.0,170.0,92.0,41.0,16.0,11.0,0.0,0.0,0.0,0.0
199,245.0,218.0,111.0,170.0,92.0,41.0,16.0,11.0,0.0,0.0,0.0,0.0
200,245.0,218.0,111.0,170.0,92.0,41.0,16.0,11.0,0.0,0.0,0.0,0.0
201,244.0,215.0,110.0,169.0,88.0,39.0,14.0,10.0,0.0,0.0,0.0,0.0
202,244.0,215.0,110.0,169.0,88.0,39.0,14.0,10.0,0.0,0.0,0.0,0.0
203,244.0,215.0,110.0,169.0,88.0,39.0,14.0,10.0,0.0,0.0,0.0,0.0
204,244.0,215.0,110.0,169.0,88.0,39.0,14.0,10.0,0.0,0.0,0.0,0.0
