,Comments,T,P
15 38 56 ,,170,748.4
15 38 57 ,,170,748.4
15 38 58 ,,170,748.4
15 38 59 ,,170,748.4
15 39 00 ,,170,748.4
15 39 01 ,,170,748.4
15 39 02 ,,170,748.4
15 39 03 ,,170,748.4
15 39 04 ,,170,748.4
15 39 05 ,,170,748.4
15 39 06 ,,170,748.4
15 39 07 ,,170,748.4
15 39 08 ,,170,748.4
15 39 09 ,,170,748.4
15 39 10 ,,170,748.4
15 39 11 ,,170,748.4
15 39 12 ,,170,748.4
15 39 13 ,,170,748.4
15 39 14 ,,170,748.4
15 39 15 ,,170,748.4
15 39 16 ,,170,748.4
15 39 17 ,,170,748.4
15 39 18 ,,170,748.4
15 39 19 ,,170,748.4
15 39 20 ,,170,748.4
15 39 21 ,,170,748.4
15 39 22 ,,170,748.4
15 39 23 ,,170,748.4
15 39 24 ,,170,748.4
15 39 25 ,,170,748.4
15 39 26 ,,170,748.4
15 39 27 ,,170,748.4
15 39 28 ,,170,748.4
15 39 29 ,,170,748.4
15 39 30 ,,170,748.4
15 39 31 ,,170,748.4
15 39 32 ,,170,748.4
15 39 33 ,,170,748.4
15 39 34 ,,170,748.4
15 39 35 ,,170,748.4
15 39 36 ,,170,748.4
15 39 37 ,,170,748.4
15 39 38 ,,170,748.4
15 39 39 ,,170,748.4
15 39 40 ,,170,748.4
15 39 41 ,,170,748.4
15 39 42 ,,170,748.4
15 39 43 ,,170,748.4
15 39 44 ,,170,748.4
15 39 45 ,,170,748.4
15 39 46 ,,170,748.4
15 39 47 ,,170,748.4
15 39 48 ,,170,748.4
15 39 49 ,,170,748.4
15 39 50 ,,170,748.4
15 39 51 ,,170,748.4
15 39 52 ,,170,748.4
15 39 53 ,,170,748.4
15 39 54 ,,170,748.4
15 39 55 ,,170,748.4
15 39 56 ,,170,748.4
15 39 57 ,,170,748.4
15 39 58 ,,170,748.4
15 39 59 ,,170,748.4
15 40 00 ,,170,748.4
15 40 01 ,,170,748.4
15 40 02 ,,170,748.4
15 40 03 ,,170,748.4
15 40 04 ,,170,748.4
15 40 05 ,,170,748.4
15 40 06 ,,170,748.4
15 40 07 ,,170,748.4
15 40 08 ,,170,748.4
15 40 09 ,,170,748.4
15 40 10 ,,170,748.4
15 40 11 ,,170,748.4
15 40 12 ,,170,748.4
15 40 13 ,,170,748.4
15 40 14 ,,170,748
15 40 15 ,,170,727.3
15 40 16 ,,170,720.9
15 40 17 ,,170,689.7
15 40 18 ,,170,666.8
15 40 19 ,,170,683.5
15 40 20 ,,170,699
15 40 21 ,,170,704.8
15 40 22 ,,170,705.3
15 40 23 ,,170,706.5
15 40 24 ,,170,707.7
15 40 25 ,,170,709
15 40 26 ,,170,710
15 40 27 ,,170,711
15 40 28 ,,170,711.4
15 40 29 ,,170,712
15 40 30 ,,170,712.5
15 40 31 ,,170,712.8
15 40 32 ,,170,713.2
15 40 33 ,,170,713.5
15 40 34 ,,170,713.6
15 40 35 ,,170,713.7
15 40 36 ,,170,713.8
15 40 37 ,,170,713.8
15 40 38 ,,170,713.8
15 40 39 ,,169.9,714
15 40 40 ,,169.9,714
15 40 41 ,,169.9,714
15 40 42 ,,169.9,714
15 40 43 ,,169.9,714.2
15 40 44 ,,169.9,714.2
15 40 45 ,,169.8,714.2
15 40 46 ,,169.8,714.2
15 40 47 ,,169.8,714.2
15 40 48 ,,169.8,714.3
15 40 49 ,,169.8,714.4
15 40 50 ,,169.8,714.5
15 40 51 ,,169.8,714.5
15 40 52 ,,169.8,714.5
15 40 53 ,,169.8,714.5
15 40 54 ,,169.8,714.5
15 40 55 ,,169.8,714.5
15 40 56 ,,169.8,714.6
15 40 57 ,,169.8,714.7
15 40 58 ,,169.8,714.7
15 40 59 ,,169.8,714.7
15 41 00 ,,169.8,714.8
15 41 01 ,,169.7,714.9
15 41 02 ,,169.7,714.9
15 41 03 ,,169.7,714.9
15 41 04 ,,169.7,714.9
15 41 05 ,,169.7,714.9
15 41 06 ,,169.7,714.9
15 41 07 ,,169.7,714.8
15 41 08 ,,169.7,714.4
15 41 09 ,,169.7,713.6
15 41 10 ,,169.7,712.5
15 41 11 ,,169.7,711.5
15 41 12 ,,169.7,710.1
15 41 13 ,,169.7,709.1
15 41 14 ,,169.7,708.5
15 41 15 ,,169.7,707.7
15 41 16 ,,169.7,707.2
15 41 17 ,,169.7,707
15 41 18 ,,169.7,706.9
15 41 19 ,,169.7,706.9
15 41 20 ,,169.7,706.9
15 41 21 ,,169.7,706.9
15 41 22 ,,169.7,707
15 41 23 ,,169.7,707.4
15 41 24 ,,169.7,707.6
15 41 25 ,,169.7,708
15 41 26 ,,169.7,708.5
15 41 27 ,,169.7,708.8
15 41 28 ,,169.7,709.3
15 41 29 ,,169.7,709.6
15 41 30 ,,169.7,709.9
15 41 31 ,,169.7,710
15 41 32 ,,169.7,710
15 41 33 ,,169.7,710.3
15 41 34 ,,169.7,710.7
15 41 35 ,,169.7,710.9
15 41 36 ,,169.7,711
15 41 37 ,,169.7,711.2
15 41 38 ,,169.7,711.2
15 41 39 ,,169.7,711.3
15 41 40 ,,169.7,711.4
15 41 41 ,,169.7,711.6
15 41 42 ,,169.7,711.8
15 41 43 ,,169.7,711.8
15 41 44 ,,169.7,711.8
15 41 45 ,,169.7,711.9
15 41 46 ,,169.7,712
15 41 47 ,,169.7,712
15 41 48 ,,169.7,712
15 41 49 ,,169.7,712
15 41 50 ,,169.7,712.1
15 41 51 ,,169.7,712.1
15 41 52 ,,169.7,712.1
15 41 53 ,,169.7,712.1
15 41 54 ,,169.7,712.1
15 41 55 ,,169.7,712.1
15 41 56 ,,169.7,712.1
15 41 57 ,,169.7,712
15 41 58 ,,169.7,711.8
15 41 59 ,,169.7,711.5
15 42 00 ,,169.7,711.3
15 42 01 ,,169.7,711.3
15 42 02 ,,169.7,711.1
15 42 03 ,,169.7,711
15 42 04 ,,169.7,711
15 42 05 ,,169.7,711
15 42 06 ,,169.7,711
15 42 07 ,,169.7,711
15 42 08 ,,169.7,711
15 42 09 ,,169.7,711
15 42 10 ,,169.7,710.7
15 42 11 ,,169.7,710.1
15 42 12 ,,169.7,709.8
15 42 13 ,,169.7,709.2
15 42 14 ,,169.7,709
15 42 15 ,,169.7,708.8
15 42 16 ,,169.7,708.3
15 42 17 ,,169.7,708
15 42 18 ,,169.7,707.8
15 42 19 ,,169.7,707.7
15 42 20 ,,169.7,707.7
15 42 21 ,,169.7,707.6
15 42 22 ,,169.7,707.6
15 42 23 ,,169.7,707.5
15 42 24 ,,169.7,707.5
15 42 25 ,,169.7,707.5
15 42 26 ,,169.7,707.5
15 42 27 ,,169.7,707.4
15 42 28 ,,169.7,707.2
15 42 29 ,,169.7,707.1
15 42 30 ,,169.7,706.9
15 42 31 ,,169.7,706.8
15 42 32 ,,169.7,706.8
15 42 33 ,,169.7,706.8
15 42 34 ,,169.7,706.8
15 42 35 ,,169.7,706.9
15 42 36 ,,169.7,707.4
15 42 37 ,,169.7,707.8
15 42 38 ,,169.7,708.5
15 42 39 ,,169.7,708.8
15 42 40 ,,169.7,709.3
15 42 41 ,,169.7,709.9
15 42 42 ,,169.7,710.1
15 42 43 ,,169.7,710.8
15 42 44 ,,169.7,711.1
15 42 45 ,,169.7,711.3
15 42 46 ,,169.7,711.6
15 42 47 ,,169.7,711.8
15 42 48 ,,169.7,712
15 42 49 ,,169.7,712.1
15 42 50 ,,169.7,712.3
15 42 51 ,,169.7,712.3
15 42 52 ,,169.7,712.4
15 42 53 ,,169.7,712.4
15 42 54 ,,169.7,712.5
15 42 55 ,,169.7,712.5
15 42 56 ,,169.7,712.6
15 42 57 ,,169.7,712.6
15 42 58 ,,169.7,712.8
15 42 59 ,,169.7,712.8
15 43 00 ,,169.7,712.8
15 43 01 ,,169.7,712.8
15 43 02 ,,169.7,712.8
15 43 03 ,,169.7,712.8
15 43 04 ,,169.7,712.8
15 43 05 ,,169.7,712.8
15 43 06 ,,169.7,712.8
15 43 07 ,,169.7,712.8
15 43 08 ,,169.7,712.8
15 43 09 ,,169.7,712.8
15 43 10 ,,169.7,712.8
15 43 11 ,,169.7,712.8
15 43 12 ,,169.7,712.8
15 43 13 ,,169.7,712.8
15 43 14 ,,169.7,712.8
15 43 15 ,,169.7,712.8
15 43 16 ,,169.7,712.8
15 43 17 ,,169.7,712.8
15 43 18 ,,169.7,712.8
15 43 19 ,,169.7,712.8
15 43 20 ,,169.7,712.8
15 43 21 ,,169.7,712.8
15 43 22 ,,169.7,712.8
